Country or Area,Year,Comm. Code,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
Afghanistan,2016,10410,"Sheep, live",Export,6088,2339,Number of items,51
Afghanistan,2016,10420,"Goats, live",Export,3958,984,Number of items,53
Albania,2016,10290,"Bovine animals, live, except pure-bred breeding",Import,2414533,1114023,Number of items,6853
Albania,2016,10392,"Swine, live except pure-bred breeding > 50 kg",Import,14265937,9484953,Number of items,96040
Albania,2016,10511,"Fowls, live domestic < 185 grams",Import,2671732,254652,Number of items,5629138
Albania,2016,10511,"Fowls, live domestic < 185 grams",Export,87581,5320,Number of items,115180
Albania,2016,10519,"Poultry, live except domestic fowls, < 185 grams",Import,26485,2908,Number of items,64000
Albania,2016,10591,"Fowls, live domestic > 185 grams",Import,2421513,1926850,Number of items,1006990
Albania,2016,10599,"Poultry, live except domestic fowls, > 185 grams",Import,251318,211177,Number of items,205124
Albania,2016,10600,"Animals, live, except farm animals",Export,584025,59521,Number of items,59521
Algeria,2016,10111,"Horses, live pure-bred breeding",Import,978230,84260,No Quantity,
Algeria,2016,10111,"Horses, live pure-bred breeding",Export,126137,4800,No Quantity,
Algeria,2016,10119,"Horses, live except pure-bred breeding",Import,96656,19430,Number of items,6
Algeria,2016,10290,"Bovine animals, live, except pure-bred breeding",Import,85118623,25486676,Number of items,92927
Algeria,2016,10511,"Fowls, live domestic < 185 grams",Import,23609477,257096,No Quantity,
Algeria,2016,10519,"Poultry, live except domestic fowls, < 185 grams",Export,263,40,No Quantity,
Algeria,2016,10519,"Poultry, live except domestic fowls, < 185 grams",Import,3792216,42470,Number of items,1803105
Algeria,2016,10600,"Animals, live, except farm animals",Import,112005,5886,No Quantity,
